Phone Brand,Phone Model,SKU Code,Upcoming Series,Released Date,Phone Price,item_height,item_length,item_width,MRP,SELLING PRICE
Micromax,Micromax Canvas Silver 5 Q450,MMCS5UCASE,,07/15,"Rs. 8,370.00",0.51,14.19,6.81,699,599
Micromax,Micromax Canvas Spark Q380,MMCSUCASE,,04/15,"Rs. 7,249.00",0.85,13.79,6.89,699,599
Micromax,Micromax Canvas Unite 3 Q372,MMCU3UCASE,,05/15,"Rs. 5,688.00",,,,699,599
Micromax,Micromax Canvas Xpress 2 E313,,,,,,,,,
Micromax,YU YUNIQUE,,,,,,,,,
Micromax,Yu Yuphoria,,,,,,,,,
Micromax,YU Yureka Plus / YU Yureka,,,,,,,,,
Microsoft,Microsoft Lumia 550,,,,,,,,,
Microsoft,Microsoft Lumia 950,,,,,,,,,
Microsoft,Microsoft Lumia 950 XL,MSL950XLUCASE,224,,,0.81,15.19,7.84,699,599
Microsoft,Microsoft Lumia N540,MSLN540UCASE,1,,,0.86,14.4,7.37,699,599
Motorola,Moto G4 Play,,,,,,,,,
Motorola,Motorola Moto G (3rd gen),,,,,,,,,
Motorola,Motorola Moto G Turbo Edition,,,,,,,,,
Motorola,Motorola Moto G4,,,,,,,,,
Motorola,Motorola Moto X,MOTOXUCASE,1,,,1.04,12.93,6.53,899,799
Motorola,Motorola Moto X Force,MOTOXFUCASE,1,,,0.92,14.98,7.8,799,699
Motorola,Motorola Moto X Play,MOTOXPUCASE,1,,,1.09,14.8,7.5,799,699
Motorola,Motorola Moto X Style,MOTOXSUCASE,1,,,1.11,15.39,76.2,999,899
Motorola,Motorola Moto X2,MOTOX2UCASE,1,,,1,14.08,7.24,799,699
Motorola,Motorola Moto X3,MOTOX3UCASE,1,,,1,14.08,7.24,799,699
Motorola,Motorola Nexus 6,MOTONEX6UCASE,1,,,1,15.92,8.29,799,699
OnePlus,ONEPLUS 2,,,,,,,,,
OnePlus,OnePlus 3,,,,,,,,,
OnePlus,OnePlus One,OPOUCASE,1,,,0.89,15.29,7.59,799,699
OnePlus,OnePlus X,,,,,,,,,
Oppo,Oppo F1,,,,,,,,,
Oppo,Oppo F1 Plus,,,,,,,,,
Oppo,Oppo N1,OPPON1UCASE,1,,,0.9,17.07,8.26,899,799
Oppo,Oppo N1 Mini,OPPON1MUCASE,1,,,0.92,14.84,7.22,799,699
Samsung,Samsung Galaxy A3,SAMA3UCASE,1,,,0.69,13.01,6.55,699,599
Samsung,Samsung Galaxy A3 (2016) A310,,,,,,,,,
Samsung,Samsung Galaxy A5,SAMA5UCASE,1,,,0.67,13.93,6.97,699,599
Samsung,Samsung Galaxy A5 2016 Edition,SAMA5E16UCASE,1,,,0.7,14.4,7.1,799,699
Samsung,Samsung Galaxy A7,SAMA7UCASE,1,,,0.63,15.1,7.62,799,699
Samsung,Samsung Galaxy A7 2016 Edition,SAMA7E16UCASE,1,,,0.73,15.15,7.41,799,699
Samsung,Samsung Galaxy A8,SAMA8UCASE,1,,,0.59,15.8,7.68,799,699
Samsung,Samsung Galaxy A9,SAMA9UCASE,1,,,0.74,16.17,8.09,799,699
Samsung,Samsung Galaxy Ace 3,SAMACE3UCASE,1,,,0.98,12.12,6.27,799,699
Samsung,Samsung Galaxy Ace 4,SAMACE4UCASE,1,,,1.08,12.14,6.29,799,699
Samsung,Samsung Galaxy Alpha,SAMALPHAUCASE,1,,,0.69,13.81,6.7,799,699
Samsung,Samsung Galaxy C7,,,,,,,,,
Samsung,Samsung Galaxy Core 2,SAMCORE2UCASE,1,,,0.98,13.03,6.8,699,599
Samsung,Samsung Galaxy Core I8260,SAMCOREUCASE,1,,,0.9,12.93,6.76,699,599
